Migration between Germany and foreign countries: years,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Departures to foreign countries;number;84794;68178;54559;50086;49883;50100;53375;54173;51680;44068;38599;32393;27038;25786;24342;25547;22912;24839;22308;20697;22629;24652;27395;27143;25917;24554;22894;22374;22368;20170;21468;16719;15573;14890;16588;16857;14596;14009;14375;17536;22953
;Female;Arrivals from foreign countries;number;30737;20158;23322;28176;28574;30176;30160;25083;17152;14964;15720;16246;18830;18236;16905;15732;14579;14356;12932;13224;15030;17402;16660;14620;13778;13893;13382;12069;10383;9536;8729;8237;8244;8523;9087;10025;10470;12869;17398;23280;28721
;;Departures to foreign countries;number;38094;38692;32833;27885;26762;26556;26717;29484;33216;31168;26348;22225;17719;16665;15696;16042;14092;14368;13854;13437;13318;13117;13424;13615;13950;13813;13813;13730;14167;13632;14805;11860;11234;10523;11731;11569;9672;9155;9003;10367;13351
;Total;Arrivals from foreign countries;number;88062;53135;69179;82875;85697;91876;88865;67567;43834;38491;40238;41948;49243;48005;44549;43061;39679;38372;33788;35273;42531;53118;51105;41557;37660;37212;35385;31578;26882;23702;21422;20268;20130;20771;22449;24926;27188;32870;45094;60651;73361
;;Departures to foreign countries;number;122888;106870;87392;77971;76645;76656;80092;83657;84896;75236;64947;54618;44757;42451;40038;41589;37004;39207;36162;34134;35947;37769;40819;40758;39867;38367;36707;36104;36535;33802;36273;28579;26807;25413;28319;28426;24268;23164;23378;27903;36304
Latvia;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;744;1077;3032;5095;6531;5751;5132;4516
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;783;844;1411;2931;3772;3822;3764;3958
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1013;985;1898;2594;3646;3581;3285;2929
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;656;925;891;1234;1398;1775;1710;1868
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1757;2062;4930;7689;10177;9332;8417;7445
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1439;1769;2302;4165;5170;5597;5474;5826
Lithuania;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1526;1442;2162;3261;5588;5622;5039;4756
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1227;1344;1431;1995;2899;3111;3555;3825
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2498;2012;2415;2882;4387;4453;4133;3708
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1690;1753;1815;1718;1887;2127;2360;2419
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4024;3454;4577;6143;9975;10075;9172;8464
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2917;3097;3246;3713;4786;5238;5915;6244
Luxembourg;Male;Arrivals from foreign countries;number;537;477;464;488;515;587;602;549;458;536;587;529;646;588;614;582;628;686;676;640;641;689;709;684;740;792;849;871;957;974;1122;1276;1435;1721;1812;1642;1543;1584;1718;1744;1941
;;Departures to foreign countries;number;550;526;496;536;540;472;492;462;553;635;567;606;548;521;555;597;538;590;651;726;724;675;774;744;751;674;760;703;731;824;945;981;1035;1112;1257;1338;1172;1397;1247;1387;1494
;Female;Arrivals from foreign countries;number;407;341;351;392;380;391;412;408;325;406;428;425;504;488;462;449;440;425;507;452;440;486;521;549;576;556;590;651;782;754;865;1129;1176;1503;1646;1410;1354;1455;1428;1627;1710
;;Departures to foreign countries;number;417;398;367;446;386;383;378;360;403;530;476;427;404;462;419;471;426;481;459;546;547;506;572;528;584;553;549;550;596;686;725;759;829;890;1079;1095;1054;1201;1139;1261;1328
;Total;Arrivals from foreign countries;number;944;818;815;880;895;978;1014;957;783;942;1015;954;1150;1076;1076;1031;1068;1111;1183;1092;1081;1175;1230;1233;1316;1348;1439;1522;1739;1728;1987;2405;2611;3224;3458;3052;2897;3039;3146;3371;3651
;;Departures to foreign countries;number;967;924;863;982;926;855;870;822;956;1165;1043;1033;952;983;974;1068;964;1071;1110;1272;1271;1181;1346;1272;1335;1227;1309;1253;1327;1510;1670;1740;1864;2002;2336;2433;2226;2598;2386;2648;2822
Malta;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91;87;81;151;168;121;148;165
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68;115;118;91;123;123;133;190
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;46;57;69;162;101;117;109
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;79;54;68;84;94;119;125
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151;133;138;220;330;222;265;274
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;194;172;159;207;217;252;315
Netherlands;Male;Arrivals from foreign countries;number;6327;4941;4596;4985;4759;5022;5158;4821;4456;4192;4365;4483;4651;4782;5100;5370;5507;5991;6413;7015;7280;7773;7732;6484;6115;6040;6431;7327;8053;7447;7589;8096;8151;8184;8398;7491;7307;7525;7671;8266;8385
;;Departures to foreign countries;number;6555;5991;5441;4828;4443;4050;4361;4430;4452;4443;4215;4094;3996;4071;3964;4329;5099;5822;6060;6984;7062;6586;6581;6411;6102;5604;5232;5185;5288;4919;5540;4920;5026;5665;6621;6654;5913;5784;5672;5876;6546
;Female;Arrivals from foreign countries;number;4510;3705;3546;3893;3693;3564;3600;3521;3363;3157;3294;3490;3591;3610;3880;4152;4314;3958;4401;4568;4846;5065;5115;4457;4482;4391;4576;5168;5923;5568;5437;5809;5903;5923;5995;5275;5153;5285;5411;5686;5915
;;Departures to foreign countries;number;4136;3976;3928;3699;3313;3292;3264;3214;3682;3556;3536;3396;3420;3404;3313;3688;3984;4456;4841;5316;5463;4979;4900;4880;4807;4661;4079;4145;4048;3697;4241;3842;4163;4406;5164;5146;4689;4591;4674;4594;5132
;Total;Arrivals from foreign countries;number;10837;8646;8142;8878;8452;8586;8758;8342;7819;7349;7659;7973;8242;8392;8980;9522;9821;9949;10814;11583;12126;12838;12847;10941;10597;10431;11007;12495;13976;13015;13026;13905;14054;14107;14393;12766;12460;12810;13082;13952;14300
;;Departures to foreign countries;number;10691;9967;9369;8527;7756;7342;7625;7644;8134;7999;7751;7490;7416;7475;7277;8017;9083;10278;10901;12300;12525;11565;11481;11291;10909;10265;9311;9330;9336;8616;9781;8762;9189;10071;11785;11800;10602;10375;10346;10470;11678
Poland;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104035;86302;81392;83065;114832;121022;127899;127361
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87017;93198;85058;70023;73002;79149;86648;97266
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49554;45006;41405;42796;57844;63303;69110;70547
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33774;39240;37571;33214;33493;35276;38751;41414
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153589;131308;122797;125861;172676;184325;197009;197908
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120791;132438;122629;103237;106495;114425;125399;138680
Portugal;Male;Arrivals from foreign countries;number;5217;3831;2711;2216;2076;2283;2050;1713;1174;1027;972;1001;1866;1959;2372;3749;4983;7238;6647;11273;26535;29311;32740;23357;15985;12139;8810;7102;6042;5182;3941;3577;3612;4056;4359;5173;4990;6088;8357;9548;7641
;;Departures to foreign countries;number;13116;9709;7335;5067;3679;3115;4663;4402;5103;5177;11272;2032;1516;1407;1453;2240;2386;3325;3796;5068;14103;20433;25688;24227;19387;13452;10055;8683;8179;6118;6018;4639;4620;4525;4949;5746;4969;4308;4275;5452;6134
;Female;Arrivals from foreign countries;number;8613;5115;3624;2938;2768;2501;2223;1772;1212;1002;1019;1125;1935;1728;1859;2369;2822;4251;4317;3676;4238;4686;4408;3848;3524;3312;3276;3191;2764;2517;2284;2031;2028;2072;2141;2178;2267;2950;4252;4946;4320
;;Departures to foreign countries;number;4680;5541;5259;4242;3305;2943;4003;3819;4571;4810;10111;1826;1219;1091;1139;1457;1408;1576;1944;2326;2645;2726;3086;3155;3266;3359;3271;3122;3136;2762;3080;2610;2394;2463;2717;2894;2297;1829;1815;2184;2469
;Total;Arrivals from foreign countries;number;13830;8946;6335;5154;4844;4784;4273;3485;2386;2029;1991;2126;3801;3687;4231;6118;7805;11489;10964;14949;30773;33997;37148;27205;19509;15451;12086;10293;8806;7699;6225;5608;5640;6128;6500;7351;7257;9038;12609;14494;11961
;;Departures to foreign countries;number;17796;15250;12594;9309;6984;6058;8666;8221;9674;9987;21383;3858;2735;2498;2592;3697;3794;4901;5740;7394;16748;23159;28774;27382;22653;16811;13326;11805;11315;8880;9098;7249;7014;6988;7666;8640;7266;6137;6090;7636;8603
Romania;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26270;29661;33993;45625;59032;74186;85444;122001
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15475;24766;27837;30372;37590;46754;57244;77251
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17186;17981;22434;28960;36447;42778;49972;69860
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8579;13264;16313;18496;21740;24398;28621;39478
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43456;47642;56427;74585;95479;116964;135416;191861
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24054;38030;44150;48868;59330;71152;85865;116729
Slovakia;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6034;5674;5264;5396;7590;8553;9374;9811
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5676;6152;5179;4746;5023;5584;6519;7479
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3549;3154;3294;3217;4450;5192;5558;5624
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2796;3331;2972;2582;2759;3049;3421;3807
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9583;8828;8558;8613;12040;13745;14932;15435
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8472;9483;8151;7328;7782;8633;9940;11286
Slovenia;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;792;852;1069;1350;2498;4273;5109;5065
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;924;1249;1391;1159;1482;2180;2905;3180
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;484;446;462;536;807;1025;1442;1799
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;533;651;653;605;566;595;632;823
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1276;1298;1531;1886;3305;5298;6551;6864
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1457;1900;2044;1764;2048;2775;3537;4003
Spain;Male;Arrivals from foreign countries;number;7809;4926;4364;3951;3820;3723;4325;4560;3330;2583;2914;2942;3573;3504;3656;4111;4227;4409;4804;5102;5125;5988;6587;6198;6461;7177;7607;8034;8089;7830;7605;7536;7491;8287;9330;10871;11676;15813;21295;24543;22823
;;Departures to foreign countries;number;34287;26551;20601;14861;10832;7954;6694;6211;7539;6999;6394;5763;5327;5524;5095;5491;5335;5281;5670;6213;7084;6910;7866;8422;8623;8857;8379;8746;8761;8576;9427;8388;8756;8827;10052;9542;8462;8395;9325;11173;13259
;Female;Arrivals from foreign countries;number;7903;4846;3991;3916;3570;3495;3356;3252;2618;2455;2546;2807;3305;3208;3543;3836;3838;4114;4611;4677;4844;5504;5967;5976;6230;6802;7277;7315;7337;6817;6801;6468;6728;7228;8058;9088;9867;12327;16388;19576;18268
;;Departures to foreign countries;number;15447;15539;14068;11686;8622;6086;5091;4593;5202;5808;5409;4824;4336;4609;4471;4620;4397;4204;4833;5215;5847;5851;6431;7148;7582;8011;7741;7583;7920;7660;8583;7671;7978;8297;9561;9076;7609;7612;7819;9151;10892
;Total;Arrivals from foreign countries;number;15712;9772;8355;7867;7390;7218;7681;7812;5948;5038;5460;5749;6878;6712;7199;7947;8065;8523;9415;9779;9969;11492;12554;12174;12691;13979;14884;15349;15426;14647;14406;14004;14219;15515;17388;19959;21543;28140;37683;44119;41091
;;Departures to foreign countries;number;49734;42090;34669;26547;19454;14040;11785;10804;12741;12807;11803;10587;9663;10133;9566;10111;9732;9485;10503;11428;12931;12761;14297;15570;16205;16868;16120;16329;16681;16236;18010;16059;16734;17124;19613;18618;16071;16007;17144;20324;24151
Sweden;Male;Arrivals from foreign countries;number;1505;990;1005;990;1034;1164;1253;1148;886;838;939;1006;964;1084;1017;1136;2135;1783;2057;2131;2641;2602;2256;2008;2120;2045;1973;1900;1786;1799;1846;1711;1729;1745;1638;1821;1832;2016;2179;2240;2311
;;Departures to foreign countries;number;1358;1489;1347;1135;956;856;928;946;993;926;953;988;889;937;897;1019;1356;1364;1331;1726;1901;2119;2277;2264;2213;2048;1954;1937;2025;1942;2187;1804;2070;2360;2613;2494;2080;2081;2115;2046;2338
;Female;Arrivals from foreign countries;number;1254;943;814;860;911;921;1017;1085;922;855;1055;1002;1125;1160;1123;1211;1285;1695;2044;1936;1960;2199;2191;2066;2016;2023;1934;1806;1695;1598;1638;1576;1452;1511;1486;1691;1768;1813;1911;1994;2024
;;Departures to foreign countries;number;1127;1182;1123;1063;906;789;808;845;943;866;1013;933;962;1010;953;1076;1051;1068;1331;1543;1911;1984;2160;2218;2169;2036;1762;1877;1851;1844;1981;1764;1864;2149;2366;2364;1973;2007;1919;1946;2237
;Total;Arrivals from foreign countries;number;2759;1933;1819;1850;1945;2085;2270;2233;1808;1693;1994;2008;2089;2244;2140;2347;3420;3478;4101;4067;4601;4801;4447;4074;4136;4068;3907;3706;3481;3397;3484;3287;3181;3256;3124;3512;3600;3829;4090;4234;4335
;;Departures to foreign countries;number;2485;2671;2470;2198;1862;1645;1736;1791;1936;1792;1966;1921;1851;1947;1850;2095;2407;2432;2662;3269;3812;4103;4437;4482;4382;4084;3716;3814;3876;3786;4168;3568;3934;4509;4979;4858;4053;4088;4034;3992;4575
United Kingdom;Male;Arrivals from foreign countries;number;9895;7707;9189;10193;11013;13440;16477;15052;9646;7108;6952;7105;8353;8448;8282;9062;10023;11485;12966;12623;13031;13244;12588;9468;9243;9649;9789;9253;8372;7536;7278;7226;7336;7486;8606;8925;9329;9993;10491;10591;10445
;;Departures to foreign countries;number;7454;6772;6811;6995;8465;9028;10079;11388;10439;8592;7754;7087;6835;6525;6434;6692;6714;7766;8793;9561;12035;11311;12832;11709;10825;10484;8961;8829;9036;8316;9944;9083;9089;9457;10757;10182;9185;8383;8138;8704;10121
;Female;Arrivals from foreign countries;number;7465;6419;6512;7743;7787;8034;9393;9569;7803;6345;6458;6661;7219;7478;7376;7498;8048;8689;9388;8571;8396;8314;7815;7009;6710;7255;7341;6925;6331;5661;5441;5385;5567;5957;6638;6825;7236;7742;8102;8133;8131
;;Departures to foreign countries;number;5840;5291;5165;5628;6591;6380;6667;7511;7579;7287;6899;6603;6284;6276;6122;6178;6105;6454;7304;7921;9896;8958;9392;9475;8944;8640;7557;7376;7626;7234;8585;8313;8230;8485;9542;9054;8074;7808;7368;7981;9113
;Total;Arrivals from foreign countries;number;17360;14126;15701;17936;18800;21474;25870;24621;17449;13453;13410;13766;15572;15926;15658;16560;18071;20174;22354;21194;21427;21558;20403;16477;15953;16904;17130;16178;14703;13197;12719;12611;12903;13443;15244;15750;16565;17735;18593;18724;18576
;;Departures to foreign countries;number;13294;12063;11976;12623;15056;15408;16746;18899;18018;15879;14653;13690;13119;12801;12556;12870;12819;14220;16097;17482;21931;20269;22224;21184;19769;19124;16518;16205;16662;15550;18529;17396;17319;17942;20299;19236;17259;16191;15506;16685;19234
__________;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(C)opyright Statistisches Bundesamt, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
created: 14.06.2016 / 10:38:53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
